tag,as_number,language,pattern
NM,-1,XX,"[1-9][0-9]*[a-zA-Z]{0,2}(?!\s*%)"
NSTNM,-1,XX,[0-9]+(\.[0-9]+)+
AL,-1,XX,"[a-z]"
AMBRA,-1,XX,[ivx]
EURCOO,-1,DE,"(\((E[UGWC]G?|Euratom)(,\s(E[UGWC]G?|Euratom))*\)\s)?(Nr.\s)?[0-9]{1,4}/[0-9]{1,4}\b"
EULCOO,-1,DE,"\b(Nr.\s)?[0-9]{1,4}/[0-9]{1,4}/(E[UGWC]G?|EURATOM)\b"
EUFCOO,-1,EN,"\b[0-9]{1,4}/[0-9]{1,4}/JHA\b"
EUFCOO,-1,DE,"\b[0-9]{1,4}/[0-9]{1,4}/JI\b"
EURCOO,-1,EN,"(\((EU|EC|EEC|ECSC|EURATOM)(,\s(EU|EC|EEC|ECSC|EURATOM))*\)\s)?(No\s)?[0-9]{1,4}/[0-9]{1,4}\b"
EULCOO,-1,EN,"\b[0-9]{1,4}/[0-9]{1,4}/(EU|EC|EEC|ECSC|EURATOM)\b"
EURCOO,-1,ES,"(\(([UC]EE?|Euratom)(,\s([UC]EE?|Euratom))*\)\s)?(№\s)?[0-9]{1,4}/[0-9]{1,4}\b"
EULCOO,-1,ES,"\b[0-9]{1,4}/[0-9]{1,4}/([UC]EE?|EURATOM)\b"
EUFCOO,-1,ES,"\b[0-9]{1,4}/[0-9]{1,4}/JAI\b"
SRNK,1,DE,erste[rsnm]?
SRNK,2,DE,zweite[rsnm]?
SRNK,3,DE,dritte[rsnm]?
SRNK,4,DE,vierte[rsnm]?
SRNK,5,DE,fünfte[rsnm]?
SRNK,6,DE,sechste[rsnm]?
SRNK,7,DE,siebte[rsnm]?
SRNK,8,DE,achte[rsnm]?
SRNK,9,DE,neunte[rsnm]?
SRNK,10,DE,zehnte[rsnm]?
SRNK,11,DE,elfte[rsnm]?
SRNK,12,DE,zwölfte[rsnm]?
SRNK,13,DE,dreizehnte[rsnm]?
SRNK,14,DE,vierzehnte[rsnm]?
SRNK,15,DE,fünfzehnte[rsnm]?
SRNK,16,DE,sechzehnte[rsnm]?
SRNK,17,DE,siebzehnte[rsnm]?
SRNK,18,DE,achtzehnte[rsnm]?
SRNK,19,DE,neunzehnte[rsnm]?
SRNK,20,DE,zwanzigste[rsnm]?
ROM,1,XX,i
ROM,2,XX,ii
ROM,3,XX,iii
ROM,4,XX,iv
ROM,5,XX,v
ROM,6,XX,vi
ROM,7,XX,vii
ROM,8,XX,viii
ROM,9,XX,ix
ROM,10,XX,x
ROM,11,XX,xi
ROM,12,XX,xii
ROM,13,XX,xiii
ROM,14,XX,xiv
ROM,15,XX,xv
ROM,16,XX,xvi
ROM,17,XX,xvii
ROM,18,XX,xviii
ROM,19,XX,xix
ROM,20,XX,xx
ROM,21,XX,xxi
ROM,22,XX,xxii
ROM,23,XX,xxiii
ROM,24,XX,xxiv
ROM,25,XX,xxv
ROM,26,XX,xxvi
ROM,27,XX,xxvii
ROM,28,XX,xxviii
ROM,29,XX,xxix
ROM,30,XX,xxx
ROM,31,XX,xxxi
ROM,32,XX,xxxii
ROM,33,XX,xxxiii
ROM,34,XX,xxxiv
ROM,35,XX,xxxv
ROM,36,XX,xxxvi
ROM,37,XX,xxxvii
ROM,38,XX,xxxviii
ROM,39,XX,xxxix
ROM,40,XX,xl
ROM,41,XX,xli
ROM,42,XX,xlii
ROM,43,XX,xliii
ROM,44,XX,xliv
ROM,45,XX,xlv
ROM,46,XX,xlvi
ROM,47,XX,xlvii
ROM,48,XX,xlviii
ROM,49,XX,xlix
SPN,1,DE,eins
SPN,2,DE,zwei
SPN,3,DE,drei
SPN,4,DE,vier
SPN,5,DE,fünf
SPN,6,DE,sechs
SPN,7,DE,sieben
SPN,8,DE,acht
SPN,9,DE,neun
SPN,10,DE,zehn
SPN,11,DE,elf
SPN,12,DE,zwölf
SPN,13,DE,dreizehn
SPN,14,DE,vierzehn
SPN,15,DE,fünfzehn
SPN,16,DE,sechzehn
SPN,17,DE,siebzehn
SPN,18,DE,achtzehn
SPN,19,DE,neunzehn
SPN,20,DE,zwanzig
SPN,1,ES,uno
SPN,2,ES,dos
SPN,3,ES,tres
SPN,4,ES,cuatro
SPN,5,ES,cinco
SPN,6,ES,seis
SPN,7,ES,siete
SPN,8,ES,ocho
SPN,9,ES,nueve
SPN,10,ES,diez
SPN,11,ES,once
SPN,12,ES,doce
SPN,13,ES,trece
SPN,14,ES,quatorce
SPN,15,ES,quince
SPN,16,ES,dieciseis
SPN,17,ES,diecisiete
SPN,18,ES,dieciocho
SPN,19,ES,diecinueve
SPN,20,ES,veinte
SPN,1,EN,one
SPN,2,EN,two
SPN,3,EN,three
SPN,4,EN,four
SPN,5,EN,five
SPN,6,EN,six
SPN,7,EN,seven
SPN,8,EN,eight
SPN,9,EN,nine
SPN,10,EN,ten
SPN,11,EN,eleven
SPN,12,EN,twelve
SPN,13,EN,thirteen
SPN,14,EN,fourteen
SPN,15,EN,fifteen
SPN,16,EN,sixteen
SPN,17,EN,seventeen
SPN,18,EN,eighteen
SPN,19,EN,nineteen
SPN,20,EN,twenty
SRNK,1,ES,primer[oa]
SRNK,2,ES,segund[oa]
SRNK,3,ES,tercer[oa]
SRNK,4,ES,cuart[oa]
SRNK,5,ES,quint[oa]
SRNK,6,ES,sext[oa]
SRNK,7,ES,séptim[oa]
SRNK,8,ES,octav[oa]
SRNK,9,ES,noven[oa]
SRNK,10,ES,décim[oa]
SRNK,11,ES,undécim[oa]
SRNK,12,ES,duodécim[oa]
SRNK,13,ES,decimotercer[oa]
SRNK,14,ES,decimocuart[oa]
SRNK,15,ES,decimoquint[oa]
SRNK,16,ES,decimosext[oa]
SRNK,17,ES,decimoséptim[oa]
SRNK,18,ES,decimooctav[oa]
SRNK,19,ES,decimonoven[oa]
SRNK,20,ES,vijésim[oa]
SRNK,1,EN,first
SRNK,2,EN,second
SRNK,3,EN,third
SRNK,4,EN,fourth
SRNK,5,EN,fifth
SRNK,6,EN,sixth
SRNK,7,EN,seventh
SRNK,8,EN,eighth
SRNK,9,EN,ninth
SRNK,10,EN,tenth
SRNK,11,EN,eleventh
SRNK,12,EN,twelth
SRNK,13,EN,thirteenth
SRNK,14,EN,fourteenth
SRNK,15,EN,fifteenth
SRNK,16,EN,sixteenth
SRNK,17,EN,seventeenth
SRNK,18,EN,eighteenth
SRNK,19,EN,nineteenth
SRNK,20,EN,twentieth
LATIN,a,XX,bis
LATIN,b,XX,ter
LATIN,c,XX,quater
LATIN,d,XX,quinquies
LATIN,e,XX,sexies
LATIN,f,XX,septies
LATIN,g,XX,octies
LATIN,h,XX,nonies
LATIN,i,XX,decies
LATIN,j,XX,undecies
LATIN,k,XX,duodecies
LATIN,l,XX,terdecies
LATIN,m,XX,quaterdecies
LATIN,n,XX,quindecies
LATIN,o,XX,sexdecies
LATIN,p,XX,septdecies
LATIN,q,XX,octodecies
LATIN,r,XX,novodecies
LATIN,s,XX,vicies
LATIN,t,XX,unvicies
LATIN,u,XX,duovicies
LATIN,v,XX,tervicies
LATIN,w,XX,quatervicies
LATIN,x,XX,quinvicies
LATIN,y,XX,sexvicies
LATIN,z,XX,septvicies
LATIN,aa,XX,bis\sbis
LATIN,ab,XX,bis\ster
LATIN,ac,XX,bis\squater
LATIN,ad,XX,bis\squinquies
LATIN,ae,XX,bis\ssexies
LATIN,af,XX,bis\ssepties
LATIN,ag,XX,bis\socties
LATIN,ah,XX,bis\snonies
LATIN,ai,XX,bis\sdecies
LATIN,aj,XX,bis\sundecies
LATIN,ak,XX,bis\sduodecies
LATIN,al,XX,bis\sterdecies
LATIN,am,XX,bis\squaterdecies
LATIN,an,XX,bis\squindecies
LATIN,ao,XX,bis\ssexdecies
LATIN,ap,XX,bis\sseptdecies
LATIN,aq,XX,bis\soctodecies
LATIN,ar,XX,bis\snovodecies
LATIN,as,XX,bis\svicies
LATIN,at,XX,bis\sunvicies
LATIN,au,XX,bis\sduovicies
LATIN,av,XX,bis\stervicies
LATIN,aw,XX,bis\squatervicies
LATIN,ax,XX,bis\squinvicies
LATIN,ay,XX,bis\ssexvicies
LATIN,az,XX,bis\sseptvicies
LATIN,ba,XX,ter\sbis
LATIN,bb,XX,ter\ster
LATIN,bc,XX,ter\squater
LATIN,bd,XX,ter\squinquies
LATIN,be,XX,ter\ssexies
LATIN,bf,XX,ter\ssepties
LATIN,bg,XX,ter\socties
LATIN,bh,XX,ter\snonies
LATIN,bi,XX,ter\sdecies
LATIN,bj,XX,ter\sundecies
LATIN,bk,XX,ter\sduodecies
LATIN,bl,XX,ter\sterdecies
LATIN,bm,XX,ter\squaterdecies
LATIN,bn,XX,ter\squindecies
LATIN,bo,XX,ter\ssexdecies
LATIN,bp,XX,ter\sseptdecies